EduSense AI 360,Session Report
Session,Class 8B — Algebra
Generated,2026-06-28T04:38:19

Summary
Average engagement,62.8
Peak,78.8,Lowest,39.2
Attention trend,Declining
Average attendance,2.0
Frames,40

t,timestamp,engagement,raw,faces,distracted,emotion
1.15,2026-06-28T04:38:19,78.8,78.8,2,0,happy
1.15,2026-06-28T04:38:19,78.5,78.2,2,0,happy
1.16,2026-06-28T04:38:19,78.3,77.8,2,0,happy
1.16,2026-06-28T04:38:19,78.0,77.2,2,0,happy
1.16,2026-06-28T04:38:19,77.8,76.8,2,0,happy
1.16,2026-06-28T04:38:19,77.5,76.2,2,0,happy
1.16,2026-06-28T04:38:19,77.3,75.8,2,0,happy
1.16,2026-06-28T04:38:19,77.0,75.2,2,0,happy
1.16,2026-06-28T04:38:19,76.8,74.8,2,0,happy
1.16,2026-06-28T04:38:19,76.5,74.2,2,0,happy
1.16,2026-06-28T04:38:19,76.3,73.8,2,0,happy
1.16,2026-06-28T04:38:19,76.0,73.2,2,0,happy
1.16,2026-06-28T04:38:19,75.8,72.8,2,0,happy
1.16,2026-06-28T04:38:19,75.5,72.2,2,0,happy
1.16,2026-06-28T04:38:19,75.3,71.8,2,0,happy
1.16,2026-06-28T04:38:19,74.7,70.8,2,0,happy
1.16,2026-06-28T04:38:19,74.2,69.8,2,0,happy
1.16,2026-06-28T04:38:19,73.6,68.8,2,0,happy
1.16,2026-06-28T04:38:19,72.9,67.8,2,0,happy
1.16,2026-06-28T04:38:19,72.3,66.8,2,0,happy
1.16,2026-06-28T04:38:19,71.6,65.8,2,0,happy
1.16,2026-06-28T04:38:19,70.8,64.8,2,0,happy
1.16,2026-06-28T04:38:19,70.1,63.8,2,0,happy
1.16,2026-06-28T04:38:19,69.2,62.1,2,0,neutral
1.16,2026-06-28T04:38:19,68.3,60.5,2,0,neutral
1.16,2026-06-28T04:38:19,67.3,59.0,2,0,neutral
1.16,2026-06-28T04:38:19,66.3,57.4,2,0,neutral
1.16,2026-06-28T04:38:19,65.1,55.8,2,0,neutral
1.16,2026-06-28T04:38:19,63.9,54.1,2,0,neutral
1.16,2026-06-28T04:38:19,62.7,52.5,2,0,neutral
1.16,2026-06-28T04:38:19,61.3,51.0,2,0,neutral
1.16,2026-06-28T04:38:19,60.0,49.4,2,0,neutral
1.16,2026-06-28T04:38:19,58.6,47.9,2,0,neutral
1.16,2026-06-28T04:38:19,57.1,46.3,2,0,neutral
1.16,2026-06-28T04:38:19,55.7,44.9,2,0,neutral
1.16,2026-06-28T04:38:19,54.2,43.5,2,0,neutral
1.16,2026-06-28T04:38:19,52.7,42.0,2,0,neutral
1.16,2026-06-28T04:38:19,51.1,40.7,2,0,neutral
1.16,2026-06-28T04:38:19,49.7,40.0,2,0,neutral
1.16,2026-06-28T04:38:19,48.2,39.2,2,0,neutral
